IP,VALUE
98.75.220.66,1
98.16.88.197,1
97.35.57.180,0
96.40.85.50,1
96.22.194.228,1
96.20.5.203,0
96.168.85.50,2
96.168.197.50,1
94.65.216.76,1
94.65.216.221,0
93.1.236.173,0
92.140.129.16,0
91.67.92.65,1
91.65.216.63,1
91.65.216.48,1
91.224.206.1,1
91.219.1.17,0
90.99.220.221,1
90.83.220.85,1
90.82.112.246,1
90.82.112.225,0
90.75.220.48,1
90.73.216.226,1
90.67.252.145,1
90.67.220.62,1
90.67.220.54,1
90.67.220.25,1
90.67.220.223,1
90.67.220.177,0
90.67.220.144,1
90.67.220.126,1
90.67.202.152,0
90.65.248.75,0
90.65.216.81,1
90.65.216.33,1
90.65.216.221,2
90.65.216.154,0
90.65.216.144,1
90.65.128.26,0
90.65.128.20,0
90.54.240.6,0
90.54.240.4,0
90.54.240.19,0
90.54.216.221,1
90.54.128.207,1
90.54.128.206,1
90.52.236.185,0
90.52.140.231,1
90.52.138.3,2
90.37.216.221,0
90.33.216.221,1
90.33.216.205,0
90.3.220.150,1
90.28.248.253,1
90.25.88.207,1
90.248.249.225,1
90.24.88.207,1
90.24.88.206,6
90.24.249.225,3
90.24.248.253,1
90.24.248.242,1
90.24.216.242,1
90.193.216.144,1
90.19.112.246,0
90.18.112.247,0
90.18.112.246,8
90.18.112.244,0
90.18.112.182,0
90.16.249.221,1
90.16.139.3,1
90.16.112.89,0
90.150.204.220,0
90.146.248.221,0
90.146.216.221,0
90.114.219.221,0
90.114.218.221,1
9.99.252.60,1
9.83.220.26,0
9.8.88.207,1
9.8.248.253,1
9.78.120.81,0
9.73.216.144,1
9.71.252.164,0
9.71.220.177,1
9.69.216.80,2
9.69.216.223,1
9.69.128.26,0
9.67.92.229,1
9.67.240.2,0
9.67.220.99,1
9.67.220.9,0
9.67.220.86,1
9.67.220.67,1
9.67.220.65,1
9.67.220.58,1
9.67.220.52,0
9.67.220.49,1
9.67.220.223,1
9.67.220.221,2
9.67.220.22,0
9.67.220.213,1
9.67.220.175,1
9.67.220.174,0
9.67.220.163,0
9.67.220.158,0
9.67.220.156,1
9.67.220.146,1
9.67.220.140,1
9.67.220.121,1
9.67.220.117,1
9.67.220.105,0
9.67.216.98,0
9.67.216.226,1
9.67.204.96,0
9.67.124.221,2
9.65.216.87,0
9.65.216.84,0
9.65.216.75,1
9.65.216.63,1
9.65.216.62,0
9.65.216.55,2
9.65.216.48,2
9.65.216.41,1
9.65.216.33,1
9.65.216.229,1
9.65.216.226,1
9.65.216.221,2
9.65.216.205,1
9.65.216.146,0
9.65.216.115,1
9.65.216.112,0
9.65.216.106,0
9.65.216.101,1
9.65.128.8,0
9.65.128.5,0
9.65.128.28,0
9.65.128.20,0
9.65.128.16,0
9.65.128.15,0
9.65.128.14,1
9.65.128.10,0
9.62.128.207,1
9.56.136.21,1
9.55.240.35,0
9.54.242.6,0
9.54.240.6,0
9.54.240.4,0
9.54.240.2,0
9.54.240.19,0
9.54.240.18,0
9.54.240.137,1
9.54.240.10,0
9.54.216.217,1
9.54.208.15,0
9.54.128.223,1
9.54.128.206,6
9.52.206.132,1
9.52.138.35,1
9.52.138.3,2
9.39.216.245,0
9.38.208.19,0
9.37.216.221,0
9.33.219.246,2
9.3.204.60,0
9.26.88.206,1
9.26.112.30,0
9.24.88.207,3
9.24.88.206,5
9.24.249.225,5
9.24.249.224,1
9.24.249.221,2
9.24.248.253,3
9.24.216.207,1
9.227.220.8,1
9.211.220.227,1
9.195.220.73,0
9.195.220.129,0
9.195.220.12,4
9.193.144.7,0
9.193.132.15,0
9.192.248.242,1
9.18.120.26,0
9.18.112.30,0
9.18.112.27,0
9.18.112.246,5
9.18.112.137,0
9.178.144.9,0
9.17.216.48,1
9.146.216.221,0
9.145.112.221,1
9.129.216.221,0
9.118.216.221,1
9.118.152.221,0
9.118.133.198,0
9.116.217.221,0
9.114.218.221,1
9.113.220.221,2
9.1.219.246,1
88.67.220.42,1
88.18.112.246,1
87.22.194.13,0
83.99.131.131,1
83.131.99.243,0
82.67.220.229,1
82.65.220.51,1
82.52.138.3,1
81.10.118.161,0
80.168.85.50,1
8.99.92.144,1
8.99.220.96,0
8.99.220.43,0
8.99.220.40,1
8.99.220.229,4
8.99.220.177,1
8.99.220.140,0
8.99.220.128,0
8.99.220.122,0
8.99.220.110,1
8.99.216.221,1
8.99.216.155,0
8.99.208.226,0
8.99.204.137,0
8.99.156.221,1
8.98.218.223,0
8.98.218.221,1
8.97.217.221,1
8.97.216.79,0
8.97.216.72,1
8.97.216.36,1
8.97.216.31,0
8.97.216.225,1
8.97.208.221,1
8.97.157.230,1
8.97.128.7,0
8.97.128.28,0
8.97.128.26,0
