PORT,VALUE
0,5
1,11
2,2
3,0
4,26
5,2
6,1
7,7
8,3
9,0
10,2
11,5
12,1
13,2
14,4
15,6
16,66
17,9
18,6
19,1
20,1767
21,30551
22,22
23,9
24,9
25,873
26,3
27,6
28,26
29,4
30,5
31,4
32,1
33,2
34,3
35,4
36,1
37,1
38,1
39,3
40,6
41,3
42,202
43,2
44,10
45,3
46,7
47,4
48,12
49,22
50,3
51,14
52,35
53,3507
54,7
55,2
56,16
57,15
58,1
59,1
60,10
61,22
62,4
63,3
64,61
65,6
66,8
67,7
68,8
69,6
70,3
71,4
72,9
73,5
74,6
75,2
76,3
77,0
78,6
79,7
80,3902
81,43
82,56
83,11
84,90
85,17
86,6
87,7
88,4638
89,7
90,3
91,18
92,11
93,1
94,1
95,5
96,5
97,7
98,5
99,0
100,6
101,3
102,3
103,3
104,20
105,6
106,4
107,2
108,3
109,2
110,37
111,3
112,41
113,6
114,5
115,5
116,4
117,1
118,3
119,0
120,2
121,4
122,3
123,4
124,8
125,3
126,3
127,3
128,1
129,9
130,5
131,8
132,3
133,50
134,9
135,43727
136,1
137,3
138,1
139,16008
140,1
141,0
142,4
143,13
144,6
145,1
146,2
147,0
148,23
149,6
150,3
151,5
152,5
153,5
154,0
155,18
156,2
157,4
158,1
159,5
160,2
161,2
162,1
163,1
164,3
165,6
166,2
167,5
168,5
169,1
170,3
171,7
172,0
173,2
174,2
175,3
176,2
177,2
178,0
179,5
180,0
181,2
182,2
183,1
184,2
185,2
186,1
187,0
188,2
189,38
190,1
191,3
192,3
193,1
194,1
195,3
196,2
197,1
198,0
199,8
200,0
201,1
202,0
203,3
204,3
205,2
206,2
207,2
208,54
209,1
210,4
211,3
212,2
213,1
214,1
215,7
216,3
217,0
218,2
219,3
220,2
221,5
222,7
223,7
224,2
225,0
226,1
227,1
228,1
229,0
230,1
231,6
232,1
233,2
234,3
235,6
236,0
237,2
238,0
239,0
240,1
241,2
242,0
243,1
244,3
245,3
246,0
247,1
248,0
249,2
250,1
251,1
252,1
253,3
254,0
255,1
256,3
257,3
258,1
259,0
260,6
261,47
262,1
263,3
264,1
265,4
266,0
267,0
268,1
269,8
270,1
271,2
272,3
273,3
274,2
275,0
276,32
277,6
278,2
279,3
280,4
281,4
282,6
283,0
284,0
285,4
286,2
287,2
288,0
289,1
290,6
291,1
292,0
293,0
294,1
295,2
296,2
297,0
298,1
299,3
300,0
301,4
302,2
303,0
304,0
305,0
306,1
307,0
308,1
309,4
310,1
311,2
312,0
313,4
314,2
315,3
316,0
317,26
318,1
319,2
320,3
321,0
322,1
323,3
324,3
325,2
326,1
327,2
328,0
329,0
330,1
331,0
332,0
333,0
334,1
335,3
336,60
337,2
338,1
339,3
340,1
341,9
342,2
343,5
344,3
345,1
346,0
347,1
348,2
349,1
350,0
351,2
352,3
353,0
354,6
355,0
356,1
357,1
358,1
359,0
360,0
361,3
362,3
363,1
364,2
365,3
366,0
367,2
368,2
369,0
370,1
371,1
372,1
373,0
374,2
375,2
376,7
377,0
378,1
379,5
380,1
381,3
382,4
383,2
384,2
385,33
386,1
387,5
388,40
389,67324
390,1
391,47
392,3
393,5
394,3
395,1
396,3
397,42
398,0
399,4
400,2
401,4
402,0
403,2
404,3
405,25
406,0
407,3
408,4
409,3
410,0
411,1
412,1
413,26
414,0
415,5
416,1
417,2
418,1
419,2
420,3
421,32
422,10
423,1
424,1
425,0
426,2
