PORT,VALUE
0,3
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,25
17,3
18,2
19,1
20,298
21,6510
22,5
23,8
24,1
25,571
26,0
27,0
28,0
29,1
30,1
31,0
32,3
33,0
34,2
35,0
36,0
37,1
38,0
39,0
40,1
41,2
42,2
43,1
44,9
45,0
46,2
47,1
48,5
49,4
50,2
51,2
52,3
53,4335
54,2
55,2
56,0
57,1
58,6
59,0
60,2
61,2
62,3
63,6
64,27
65,2
66,2
67,3
68,3
69,0
70,2
71,1
72,0
73,2
74,1
75,2
76,0
77,1
78,1
79,2
80,13386
81,18
82,31
83,4
84,28
85,0
86,0
87,1
88,1340
89,0
90,1
91,0
92,0
93,0
94,2
95,0
96,2
97,0
98,1
99,1
100,1
101,2
102,0
103,2
104,0
105,0
106,2
107,1
108,1
109,3
110,521
111,1
112,32
113,1
114,2
115,0
116,2
117,0
118,3
119,0
120,2
121,0
122,2
123,3
124,0
125,1
126,1
127,1
128,2
129,0
130,0
131,2
132,1
133,5
134,1
135,5608
136,1
137,0
138,1
139,18583
140,0
141,1
142,2
143,1
144,3
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,3
153,2
154,0
155,1
156,0
157,0
158,0
159,0
160,2
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,2
172,0
173,0
174,2
175,0
176,0
177,0
178,0
179,1
180,1
181,2
182,0
183,1
184,1
185,3
186,2
187,0
188,2
189,14
190,1
191,3
192,2
193,2
194,1
195,0
196,1
197,2
198,1
199,1
200,0
201,1
202,1
203,0
204,3
205,0
206,1
207,0
208,32
209,1
210,0
211,3
212,4
213,0
214,1
215,2
216,1
217,3
218,1
219,79
220,0
221,1
222,1
223,2
224,2
225,0
226,1
227,2
228,1
229,0
230,0
231,0
232,2
233,1
234,2
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,0
250,3
251,3
252,7
253,1
254,0
255,2
256,0
257,2
258,0
259,1
260,3
261,2
262,0
263,0
264,0
265,3
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,0
274,2
275,0
276,3
277,0
278,0
279,0
280,2
281,1
282,0
283,0
284,2
285,2
286,2
287,0
288,1
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,2
304,3
305,0
306,4
307,2
308,2
309,0
310,0
311,1
312,1
313,0
314,1
315,2
316,0
317,12
318,0
319,2
320,1
321,0
322,0
323,2
324,1
325,0
326,2
327,1
328,1
329,2
330,0
331,2
332,1
333,0
334,0
335,1
336,32
337,2
338,1
339,2
340,2
341,0
342,1
343,1
344,0
345,2
346,0
347,1
348,4
349,0
350,9
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,2
362,0
363,0
364,0
365,1
366,0
367,2
368,3
369,3
370,0
371,0
372,2
373,0
374,0
375,1
376,0
377,3
378,4
379,0
380,3
381,4
382,0
383,0
384,1
385,6
386,0
387,0
388,4
389,15573
390,1
391,2
392,1
393,0
394,0
395,2
396,0
397,8
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,8
406,0
407,1
408,0
409,19
410,0
411,1
412,0
413,4
414,1
415,1
416,2
417,0
418,0
419,1
420,0
421,3
422,0
423,2
424,0
425,3
426,2
427,0
428,0
429,14
430,1
431,1
432,0
433,0
434,5
435,1
436,0
437,6
438,0
439,1
440,2
441,9
442,1
443,888
444,10
445,1.38E+06
446,1
447,6
448,1
449,1
450,0
451,1
452,0
453,5
454,1
455,0
456,0
457,1
458,0
459,1
460,0
461,1
462,2
463,1
464,4
465,2
466,0
467,1
468,4
469,0
470,2
471,1
472,0
473,0
474,0
475,4
476,1
477,2
478,0
479,0
480,2
481,2
482,2
483,1
484,1
485,0
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,2
494,2
495,0
496,2
497,0
498,0
499,1
500,1
501,3
502,1
503,1
504,3
505,1
506,0
507,1
508,1
509,12
510,2
511,2
512,0
513,0
514,16
515,0
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,2
524,0
525,0
526,1
527,0
528,1
529,3
530,0
531,0
532,1
533,4
534,0
535,1
536,3
537,2
538,1
539,0
540,0
541,0
542,2
543,1
544,0
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,1
554,3
555,0
556,0
557,0
558,0
559,0
560,1
561,1
562,0
563,1
564,1
565,1
566,0
567,0
568,0
569,1
570,1
571,0
572,2
573,0
574,3
575,2
576,3
577,1
578,0
579,0
580,0
581,0
582,1
583,3
584,0
585,3
586,0
587,0
588,0
589,1
590,1
591,1
592,30
593,2
594,0
595,0
596,0
597,2
598,0
599,0
600,1
601,3
602,2
603,1
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,2
612,0
613,2
614,0
615,1
616,0
617,0
618,0
619,1
620,1
621,0
622,0
623,1
624,0
625,0
626,0
627,3
628,1
629,1
630,0
631,0
632,0
633,1
634,1
635,0
636,0
637,0
638,1
639,0
640,0
641,2
642,2
643,0
644,0
645,1
646,18
647,1
648,0
649,0
650,0
651,0
652,3
653,0
654,0
655,2
656,3
657,1
658,0
659,1
660,0
661,0
662,1
663,3
664,0
665,0
666,0
667,0
668,3
669,1
670,1
671,0
672,1
673,1
674,2
675,1
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,1
684,0
685,0
686,2
687,1
688,1
689,0
690,0
691,10
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,2
704,0
705,1
706,3
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,2
715,2
716,0
717,1
718,0
719,0
720,4
721,0
722,1
723,1
724,2
725,2
726,0
727,1
728,1
729,1
730,0
731,0
732,1
733,0
734,0
735,2
736,1
737,1
738,0
739,0
740,1
741,0
742,0
743,3
744,1
745,3
746,2
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,0
761,2
762,0
763,1
764,0
765,0
766,0
767,0
768,0
769,0
770,1
771,1
772,2
773,1
774,0
775,0
776,1
777,1
778,1
779,0
780,1
781,2
782,1
783,1
784,1
785,0
786,1
787,0
788,0
789,2
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,0
798,1
799,0
800,1
801,2
802,0
803,1
804,1
805,2
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,1
814,4
815,2
816,1
817,0
818,1
819,0
820,2
821,0
822,1
823,1
824,0
825,0
826,0
827,1
828,0
829,0
830,2
831,4
832,1
833,0
834,2
835,0
836,0
837,1
838,0
839,0
840,0
841,2
842,3
843,1
844,2
845,1
846,2
847,0
848,0
849,2
850,0
851,3
852,1
853,2
854,0
855,1
856,2
857,1
858,2
859,2
860,2
861,0
862,1
863,2
864,2
865,1
866,0
867,0
868,1
869,0
870,0
871,0
872,0
873,0
874,1
875,0
876,0
877,2
878,0
879,0
880,0
881,0
882,0
883,0
884,1
885,0
886,0
887,0
888,0
889,1
890,3
891,2
892,2
893,2
894,0
895,1
896,1
897,0
898,1
899,1
900,0
901,8
902,2
903,0
904,1
905,1
906,0
907,2
908,1
909,1
910,0
911,0
912,0
913,1
914,0
915,0
916,0
917,1
918,2
919,5
920,0
921,1
922,0
923,0
924,0
925,0
926,0
927,0
928,1
929,1
930,0
931,2
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,1
941,1
942,0
943,0
944,2
945,1
946,0
947,0
948,0
949,0
950,0
951,1
952,0
953,1
954,0
955,0
956,1
957,8
958,0
959,3
960,1
961,0
962,1
963,0
964,1
965,1
966,1
967,0
968,1
969,0
970,2
971,1
972,0
973,0
974,1
975,0
976,1
977,0
978,1
979,1
980,0
981,1
982,1
983,1
984,1
985,0
986,1
987,1
988,0
989,1
990,2
991,0
992,0
993,2
994,0
995,1
996,0
997,0
998,0
999,1
1000,0
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,0
1012,1
1013,0
1014,0
1015,1
1016,0
1017,1
1018,0
1019,0
1020,0
1021,2
1022,0
1023,1
1024,10
1025,4078
1026,728
1027,694
1028,925
1029,375
1030,450
1031,544
1032,560
1033,356
1034,315
1035,329
1036,303
1037,258
1038,249
1039,274
1040,308
1041,239
1042,284
1043,287
1044,294
1045,336
1046,414
1047,494
1048,496
1049,508
1050,464
1051,480
1052,457
1053,667
1054,415
1055,398
1056,390
1057,354
1058,421
1059,330
1060,262
1061,352
1062,363
1063,319
1064,349
1065,309
1066,447
1067,368
1068,388
1069,346
1070,323
1071,361
1072,335
1073,375
1074,342
1075,362
1076,409
1077,370
1078,328
1079,363
1080,378
1081,360
1082,355
1083,304
1084,326
1085,405
1086,300
